,step 0,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10
FR,15.089418777943367,16.778927110897282,19.048760033544987,21.24321062160531,24.234189723320156,26.55074608459736,28.44691925916959,29.959896201934416,32.83985430619198,38.14901190622315,39.40206975852817
AVO,19.32367149758454,31.83673469387755,36.04178757980267,40.070093457943926,45.492537313432834,50.3875968992248,53.85514018691588,57.05382436260623,61.86726659167604,71.69700528479154,75.13949163050218
BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.375
