,step 0,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,step 13,step 14,step 15,step 16,step 17,step 18,step 19,step 20,step 21,step 22,step 23,step 24,step 25,step 26,step 27,step 28,step 29,step 30,step 31,step 32,step 33,step 34
FR,14.0625,16.145833333333336,18.449074074074073,20.613425925925927,22.87037037037037,25.092592592592595,27.361111111111114,29.259259259259256,31.52777777777778,33.83101851851852,36.13425925925926,37.951388888888886,39.96527777777778,41.8287037037037,43.4375,45.13888888888889,47.73148148148148,50.25462962962963,52.58101851851852,54.79166666666667,57.25694444444444,59.36342592592593,61.38888888888889,63.32175925925926,65.25462962962963,66.68981481481482,70.23148148148148,71.62037037037037,74.23611111111111,77.33796296296296,79.07407407407408,78.64583333333334,80.56712962962963,81.67824074074073,81.4699074074074
AVO,16.666666666666664,18.385416666666668,20.3125,22.1875,24.010416666666668,25.937500000000004,28.489583333333336,29.843750000000004,31.927083333333332,34.166666666666664,36.09375,37.5,39.375,41.354166666666664,42.864583333333336,44.166666666666664,46.979166666666664,49.21875,51.041666666666664,53.333333333333336,55.677083333333336,57.291666666666664,59.114583333333336,60.98958333333333,62.916666666666664,64.63541666666667,67.96875,68.90625,71.14583333333333,75.0,77.03125,75.9375,77.5,78.54166666666667,79.32291666666667
BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
