,step 0,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10
FR,19.95330739299611,23.67924528301887,26.408068269976724,29.87538940809969,33.1733746130031,35.62934362934363,40.41074249605055,43.987189751801445,50.23907666941467,55.48709408825978,52.90996784565917
AVO,26.6147859922179,30.031446540880502,32.42823894491854,35.66978193146417,38.46749226006192,40.849420849420845,46.76145339652449,49.9599679743795,56.88375927452597,62.28143213988343,59.244372990353696
BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
