,step 0,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,step 13,step 14,step 15,step 16,step 17,step 18,step 19,step 20,step 21,step 22
FR,18.547453703703702,21.788194444444446,24.62384259259259,27.74884259259259,31.004050925925924,33.37673611111111,37.008101851851855,39.742476851851855,42.578125,45.74652777777778,48.16261574074074,50.34722222222222,52.80671296296296,54.78877314814815,56.98784722222222,59.01331018518518,60.951967592592595,64.27951388888889,67.53472222222221,72.01967592592592,75.36168981481481,77.57523148148148,77.79224537037037
AVO,22.265625,24.869791666666664,27.213541666666668,29.817708333333332,32.35677083333333,34.44010416666667,38.54166666666667,40.625,43.359375,46.35416666666667,48.37239583333333,50.0,52.083333333333336,54.231770833333336,56.184895833333336,57.942708333333336,59.635416666666664,62.5,65.10416666666666,69.53125,73.046875,74.73958333333334,74.67447916666666
BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
