,step 0,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,step 13,step 14,step 15
FR,15.089418777943367,16.778927110897282,19.02147971360382,21.380552220888354,23.795761078998073,26.07022607022607,28.375945264674108,30.501930501930502,33.36154776299879,35.08373205741627,37.43918357659903,38.70967741935484,42.55970606246173,44.55849616621321,49.20531526836894,47.711290964574765
AVO,19.32367149758454,20.58309037900875,22.54335260115607,24.767441860465116,26.84915550378567,28.953488372093023,31.710144927536234,33.37216074548631,36.17269544924154,37.96884016156953,40.02287021154945,40.86565486228218,44.8032883147387,47.519426180514046,52.674638137193206,50.71151358344114
BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.190476190476191
