,step 0,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,step 13,step 14,step 15
FR,14.0625,16.145833333333336,18.449074074074073,20.462962962962962,22.55787037037037,24.76851851851852,26.944444444444443,29.14351851851852,31.608796296296298,33.93518518518518,36.28472222222222,38.56481481481481,40.79861111111111,42.88194444444444,45.42824074074074,47.8125
AVO,16.666666666666664,28.4375,32.395833333333336,35.833333333333336,39.479166666666664,43.645833333333336,47.5,51.927083333333336,55.833333333333336,59.895833333333336,63.74999999999999,68.07291666666667,72.1875,76.71875,82.08333333333333,86.5625
BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0476190476190477
